time,open,high,low,close
1777557000,151173,151173,150880,150985
1777557300,150995,151060,150937,150950
1777557600,150911,151242,150856,151200
1777557900,151195,151347,151091,151173
1777558200,151100,151176,151003,151176
1777558500,151200,151293,151071,151223
1777558800,151232,151254,151114,151239
1777559100,151245,151368,151162,151308
1777559400,151234,151257,151000,151065
1777559700,151052,151052,150891,150905
1777560000,150983,151117,150923,151018
1777560300,151129,151170,151028,151028
1777560600,151001,151179,151001,151178
1777560900,151080,151099,151040,151099
1777561200,151090,151090,150858,150858
1777561500,150903,151030,150785,151030
1777561800,151050,151073,150927,151073
1777562100,151087,151156,151036,151091
1777562400,151059,151065,150990,151043
1777562700,151063,151302,151063,151290
1777563000,151210,151349,151195,151250
1777563300,151250,151250,151070,151118
1777563600,151082,151126,150975,150975
1777563900,150975,151061,150930,151024
1777564200,151023,151059,151004,151059
1777564500,151100,151200,151100,151176
1777564800,151125,151125,150971,151042
1777565100,151050,151119,151011,151011
1777565400,151039,151042,150858,150882
1777565700,150900,150968,150686,150740
1777566000,150839,150891,150785,150889
1777566300,150926,150926,150720,150736
1777566600,150745,150919,150745,150915
1777566900,150868,150868,150828,150828
1777567200,150794,150864,150750,150814
1777567500,150818,151062,150801,151027
1777567800,151050,151191,151015,151191
1777568100,151160,151160,150872,150880
1777568400,150945,151088,150945,151030
1777568700,151045,151116,150988,151077
1777569000,151124,151176,151039,151051
1777569300,151051,151060,150944,151060
1777569600,151042,151144,151042,151135
1777569900,151100,151150,151090,151115
1777570200,151137,151158,151040,151086
1777570500,151059,151120,151043,151043
1777570800,151052,151100,151027,151100
1777571100,151091,151150,151054,151089
1777571400,151060,151151,151060,151125
1777571700,151089,151225,151089,151225
1777635000,150098,150155,149742,150109
1777635300,150107,150280,150107,150254
1777635600,150286,150347,150250,150250
1777635900,150252,150269,150182,150257
1777636200,150250,150250,149970,150016
1777636500,150080,150183,150075,150183
1777636800,150160,150200,150130,150190
1777637100,150199,150270,150156,150204
1777637400,150155,150511,150127,150447
1777637700,150440,150599,150379,150525
1777638000,150530,150848,150500,150802
1777638300,150800,151100,150782,150900
1777638600,150860,150860,150651,150799
1777638900,150830,150885,150738,150742
1777639200,150742,150742,150534,150599
1777639500,150620,150711,150550,150576
1777639800,150600,150679,150600,150640
1777640100,150630,150649,150542,150559
1777640400,150559,150700,150550,150700
1777640700,150675,150736,150675,150690
1777641000,150678,150678,150563,150563
1777641300,150563,150602,150455,150545
1777641600,150541,150596,150523,150596
1777641900,150584,150584,150497,150497
1777642200,150480,150850,150459,150716
1777642500,150723,150850,150723,150760
1777642800,150755,150890,150755,150789
1777643100,150783,150860,150730,150750
1777643400,150758,151167,150725,151150
1777643700,151112,151396,151086,151250
1777644000,151305,151697,151303,151555
1777644300,151534,151645,151436,151547
1777644600,151544,152197,151544,152089
1777644900,152070,152208,151868,152002
1777645200,152038,152139,151850,151850
1777645500,151818,151980,151743,151743
1777645800,151750,151817,151617,151657
1777646100,151621,151732,151463,151732
1777646400,151677,151677,151445,151494
1777646700,151476,151524,151401,151507
1777647000,151450,151536,151400,151514
1777647300,151430,151549,151430,151522
1777647600,151509,151525,151256,151283
1777647900,151260,151448,151172,151372
1777648200,151399,151680,151350,151680
1777648500,151684,151735,151650,151715
1777648800,151714,151714,151480,151550
1777649100,151533,151555,151504,151505
1777649400,151625,151625,151570,151570
1777649700,151525,151733,151525,151720
1777650000,151720,151797,151718,151756
1777650300,151706,151780,151678,151770
1777650600,151650,151746,151443,151700
1777650900,151720,151720,151684,151706
1777651200,151710,151710,151645,151645
1777651500,151702,151710,151606,151606
1777651800,151560,151704,151560,151704
1777652100,151715,151800,151703,151703
1777652400,151727,151808,151629,151697
1777652700,151669,151669,151538,151538
1777653000,151600,151600,151437,151466
1777653300,151499,151543,151404,151542
1777653600,151541,151605,151532,151544
1777653900,151502,151568,151501,151568
1777654200,151536,151655,151520,151655
1777654500,151620,151657,151602,151630
1777654800,151600,151600,151523,151540
1777655100,151528,151582,151504,151513
1777655400,151516,151516,151516,151516
1777655700,151579,151609,151550,151550
1777656000,151550,151561,151485,151485
1777656300,151422,151485,151400,151400
1777656600,151394,151419,151351,151371
1777656900,151385,151385,151301,151350
1777657200,151377,151389,151293,151301
1777657500,151300,151304,151242,151272
1777657800,151363,151389,151303,151388
1777658100,151388,151460,151315,151363
1777865400,150900,151257,150900,151095
1777865700,151095,151095,150955,150977
1777866000,150935,151037,150860,151037
1777866300,151150,151280,151135,151250
1777866600,151201,151346,151201,151232
1777866900,151259,151347,151259,151315
1777867200,151307,151312,151130,151130
1777867500,151195,151253,151160,151180
1777867800,151186,151215,151100,151191
1777868100,151176,151206,151151,151195
1777868400,151150,151150,151039,151098
1777868700,151092,151105,151040,151040
1777869000,151039,151125,151031,151106
1777869300,151113,151181,151113,151122
1777869600,151082,151100,151025,151049
1777869900,151050,151067,150975,150975
1777870200,150975,151033,150951,150951
1777870500,150950,150950,150902,150908
1777870800,150910,150910,150865,150877
1777871100,150866,150899,150766,150825
1777871400,150800,150810,150701,150720
1777871700,150720,150934,150689,150934
1777872000,150934,150970,150751,150759
1777872300,150778,150778,150523,150523
1777872600,150545,150545,150400,150530
1777872900,150548,150551,150452,150525
1777873200,150535,150634,150470,150634
1777873500,150696,150747,150620,150620
1777873800,150600,150608,150534,150608
1777874100,150589,150623,150567,150623
1777874400,150600,150600,150450,150463
1777874700,150354,150573,150329,150573
1777875000,150520,150634,150463,150634
1777875300,150584,150584,150461,150579
1777875600,150520,150520,150385,150425
1777875900,150381,150450,150336,150450
1777876200,150487,150487,150304,150373
1777876500,150396,150396,150209,150342
1777876800,150262,150367,150260,150260
1777877100,150267,150388,150236,150388
1777877400,150400,150438,150390,150435
1777877700,150384,150438,150370,150404
1777878000,150360,150412,150320,150379
1777878300,150370,150457,150370,150430
1777878600,150465,150500,150403,150469
1777878900,150486,150487,150415,150441
1777879200,150452,150480,150400,150400
1777879500,150400,150420,150346,150350
1777879800,150379,150379,150330,150330
1777880100,150340,150384,150310,150384
1777880400,150384,150414,150311,150414
1777880700,150400,150450,150400,150438
1777881000,150379,150379,150360,150360
1777881300,150332,150332,150206,150206
1777881600,150150,150253,150127,150127
1777881900,150100,150179,150099,150159
1777882200,150225,150225,150150,150150
1777882500,150200,150258,150093,150107
1777882800,150158,150263,150150,150178
1777883100,150163,150237,150120,150120
1777883400,150116,150123,150050,150115
1777883700,150125,150142,150059,150139
1777884000,150240,150250,150189,150189
1777884300,150173,150215,150151,150215
1777884600,150204,150204,150147,150147
1777884900,150106,150156,150098,150111
1777885200,150099,150187,150099,150187
1777885500,150223,150252,150208,150210
1777885800,150253,150374,150237,150346
1777886100,150316,150373,150290,150350
1777886400,150364,150372,150330,150338
1777886700,150319,150340,150300,150333
1777887000,150331,150365,150310,150365
1777887300,150383,150426,150383,150409
