time,open,high,low,close
1767799800,137734,137871,137680,137715
1767801600,137800,138199,137764,138115
1767803400,138114,138400,138114,138339
1767805200,138339,138339,138150,138185
1767807000,138210,138300,138044,138055
1767808800,138077,138109,137900,138040
1767843000,137996,137996,137400,137517
1767844800,137510,137510,137207,137267
1767846600,137242,137331,137100,137190
1767848400,137179,137183,136900,136920
1767850200,136925,136931,136500,136820
1767852000,136809,136999,136630,136990
1767853800,136990,137245,136980,137160
1767855600,137140,137299,137060,137230
1767857400,137234,137234,137002,137090
1767859200,137100,137244,137001,137151
1767861000,137151,137157,136803,137141
1767862800,137142,137250,137001,137165
1767864600,137164,137220,137086,137192
1767866400,137170,137192,136806,136862
1767868200,136885,137100,136833,137100
1767870000,137072,137088,136875,136931
1767871800,136920,136974,136800,136800
1767873600,136773,136783,136443,136687
1767875400,136696,137010,136691,136916
1767877200,136936,137071,136705,137000
1767879000,137026,137044,136717,136750
1767880800,136790,136870,136607,136794
1767882600,136785,137059,136700,136929
1767884400,136900,137612,136835,137432
1767886200,137449,137727,137411,137650
1767888000,137608,137787,137505,137622
1767889800,137635,137950,137635,137925
1767891600,137925,137960,137766,137877
1767893400,137877,137940,137800,137900
1767895200,137900,137900,137616,137700
1767929400,137900,138058,137729,137944
1767931200,137930,138075,137923,138017
1767933000,138010,138157,137974,138101
1767934800,138080,138192,137995,138116
1767936600,138210,138320,138171,138271
1767938400,138260,138460,138260,138441
1767940200,138450,138600,138445,138479
1767942000,138479,138489,138371,138400
1767943800,138415,138582,138371,138430
1767945600,138402,138597,138398,138559
1767947400,138559,138579,138290,138419
1767949200,138415,138643,138400,138447
1767951000,138500,138500,138350,138404
1767952800,138393,138425,138258,138290
1767954600,138272,138374,138235,138361
1767956400,138398,138445,138293,138302
1767958200,138298,138379,138206,138379
1767960000,138390,138500,138158,138236
1767961800,138233,138265,138011,138170
1767963600,138235,138395,138090,138256
1767965400,138274,138719,138018,138571
1767967200,138638,138902,138573,138864
1767969000,138815,138951,138568,138850
1767970800,138840,139409,138786,139300
1767972600,139350,139550,139250,139457
1767974400,139490,139500,139075,139228
1767976200,139202,139318,139165,139318
1767978000,139330,139400,139165,139234
1767979800,139203,139350,138678,138750
1767981600,138700,138930,138700,138875
1768188600,141001,141250,139600,140747
1768190400,140764,140899,140711,140831
1768192200,140828,140901,140750,140821
1768194000,140821,141045,140764,141021
1768195800,140961,141388,140961,141266
1768197600,141265,141274,141000,141135
1768199400,141143,141271,141110,141217
1768201200,141224,141469,141175,141304
1768203000,141348,141460,141255,141431
1768204800,141421,141445,141225,141310
1768206600,141300,141590,141300,141563
1768208400,141568,141619,141455,141600
1768210200,141588,141608,141391,141391
1768212000,141420,141540,141376,141520
1768213800,141525,141643,141436,141643
1768215600,141620,141636,141329,141329
1768217400,141330,141576,141326,141398
1768219200,141385,141441,141305,141350
1768221000,141392,141586,141392,141573
1768222800,141579,142050,141571,141900
1768224600,141900,142340,141900,142266
1768226400,142300,142300,141471,141570
1768228200,141533,142100,141454,141913
1768230000,141888,142300,141888,142272
1768231800,142278,142452,142191,142230
1768233600,142270,142500,142201,142303
1768235400,142274,142385,142000,142258
1768237200,142258,142299,142111,142235
1768239000,142203,142249,142100,142189
1768240800,142189,142212,141866,141991
1768275000,141850,141938,141660,141825
1768276800,141840,142206,141840,142110
1768278600,142118,142182,142043,142142
1768280400,142182,142187,142000,142151
1768282200,142150,142166,141801,141926
1768284000,141953,141955,141681,141690
1768285800,141700,141753,141320,141468
1768287600,141513,141513,141311,141445
1768289400,141445,141546,141332,141398
1768291200,141430,141794,141401,141690
1768293000,141706,141940,141706,141780
1768294800,141780,141888,141700,141700
1768296600,141700,141717,141511,141565
1768298400,141558,141603,141410,141565
1768300200,141550,141665,141460,141600
1768302000,141608,141653,141467,141558
1768303800,141544,141717,141527,141620
1768305600,141620,141644,141390,141458
1768307400,141458,141850,141432,141799
1768309200,141829,142177,141775,141974
1768311000,142084,142550,142084,142252
1768312800,142243,142650,142237,142565
1768314600,142589,142949,142370,142860
1768316400,142835,142861,142200,142500
1768318200,142456,142700,142382,142700
1768320000,142664,142708,142170,142269
1768321800,142267,142550,142257,142520
1768323600,142551,142581,142316,142547
1768325400,142539,142619,142261,142290
1768327200,142288,142370,142000,142150
1768361400,142500,143017,140501,142931
1768363200,142930,143096,142858,142966
1768365000,142979,143173,142924,143067
1768366800,143070,143415,143070,143330
1768368600,143307,143500,142956,142999
1768370400,142999,143436,142999,143306
1768372200,143279,143372,143105,143372
1768374000,143335,143400,143190,143365
1768375800,143376,143399,143222,143225
1768377600,143230,143276,143100,143159
1768379400,143160,143350,143160,143314
1768381200,143300,143335,143275,143325
1768383000,143325,143339,143120,143270
1768384800,143242,143400,143204,143368
1768386600,143334,143411,143275,143306
1768388400,143279,143430,143251,143310
1768390200,143334,143400,143250,143256
1768392000,143315,143474,143312,143404
1768393800,143404,143590,143355,143578
1768395600,143569,143579,143323,143377
1768397400,143351,143446,143146,143423
1768399200,143423,143460,143300,143345
1768401000,143310,143345,142568,142955
1768402800,142954,143239,142421,142990
1768404600,142951,143190,142875,143080
1768406400,143085,143249,142987,143209
1768408200,143223,143230,142864,143052
1768410000,143052,143074,142779,142953
1768411800,142902,143022,142684,143000
1768413600,142922,143250,142922,143201
1768476600,142987,143483,142762,143140
1768478400,143144,143165,142951,143099
1768480200,143067,143120,142956,143011
1768482000,143013,143013,142631,142631
1768483800,142620,142645,141960,142198
1768485600,142200,142755,142080,142690
1768487400,142641,142986,142600,142915
1768489200,142900,143054,142767,143005
1768491000,143015,143080,142844,142942
1768492800,142942,143286,142829,142969
1768494600,142957,143014,142710,142873
1768496400,142873,143005,142873,142900
1768498200,142930,143076,142930,143020
1768500000,143020,143190,143020,143120
1768534200,142500,142751,142400,142580
1768536000,142610,142837,142583,142724
1768537800,142725,142832,142715,142825
1768539600,142756,142969,142749,142926
1768541400,142940,143290,142800,143225
1768543200,143225,143225,143028,143097
1768545000,143074,143164,142830,142965
1768546800,142950,143296,142950,143033
1768548600,143026,143106,142875,143040
1768550400,143011,143100,142942,143065
1768552200,143065,143120,142986,142986
1768554000,143000,143095,142926,142990
1768555800,142995,143049,142955,143006
1768557600,143006,143228,143006,143172
1768559400,143143,143201,142968,142970
1768561200,142985,143171,142924,143160
1768563000,143130,143233,143086,143190
1768564800,143160,143180,143032,143075
1768566600,143075,143080,142843,142874
1768568400,142887,142999,142469,142568
1768570200,142595,142945,142500,142904
1768572000,142956,143098,142802,142802
1768573800,142801,143151,142763,143033
1768575600,143063,143321,141967,141981
1768577400,142001,142450,141220,142287
1768579200,142434,142863,142258,142733
1768581000,142765,142898,142471,142666
1768582800,142674,142700,142341,142345
1768584600,142340,142530,142340,142480
1768586400,142425,142612,142425,142599
1768793400,144250,145500,143320,144435
1768795200,144435,144740,144396,144675
1768797000,144684,144840,144634,144784
1768798800,144773,144990,144770,144900
1768800600,144916,145048,144806,144949
1768802400,144910,145059,144910,145010
1768804200,145019,145316,145000,145310
1768806000,145286,145339,145000,145110
1768807800,145112,145161,145000,145091
1768809600,145091,145245,145091,145221
1768811400,145213,145229,145007,145030
1768813200,144981,145168,144962,145099
1768815000,145110,145176,145060,145116
1768816800,145110,145169,145006,145007
1768818600,145009,145080,144904,144990
1768820400,145022,145060,144930,145015
1768822200,145015,145048,144865,144871
1768824000,144870,145150,144850,145115
1768825800,145114,145180,145010,145158
1768827600,145175,145175,145018,145113
1768829400,145120,145160,144954,145011
1768831200,144977,145111,144915,145092
1768833000,145100,145150,144998,145132
1768834800,145132,145260,145089,145124
1768836600,145145,145349,145120,145349
1768838400,145330,145349,145260,145333
1768840200,145343,145499,145304,145462
1768842000,145462,145571,145430,145434
1768843800,145436,145649,145436,145597
1768845600,145585,145770,145545,145700
1768879800,145770,146600,145500,146600
1768881600,146580,147996,146563,147430
1768883400,147420,147990,147350,147850
1768885200,147850,147948,147501,147564
1768887000,147565,147950,147501,147935
1768888800,147906,148199,147772,148001
1768890600,148022,148174,147819,148133
1768892400,148090,148175,148041,148130
1768894200,148129,148280,148101,148180
1768896000,148186,148824,148186,148790
1768897800,148799,150479,148782,150448
1768899600,150402,152500,148000,149679
1768901400,149744,150127,149200,149360
1768903200,149393,149500,149145,149210
1768905000,149213,149213,148860,149149
1768906800,149108,149499,149108,149222
1768908600,149216,150300,149216,150153
1768910400,150152,150249,150003,150112
1768912200,150060,150676,149943,150525
1768914000,150500,150600,149500,149500
1768915800,149502,150200,149401,150200
1768917600,150232,150568,150025,150141
1768919400,150180,150200,149692,149938
1768921200,149934,150120,149031,149200
1768923000,149210,149782,149210,149691
1768924800,149725,149967,149536,149857
1768926600,149900,150320,149900,150267
1768928400,150225,150440,150025,150440
1768930200,150436,150550,150300,150500
1768932000,150474,150676,150474,150560
1768966200,152999,154710,151575,154644
1768968000,154642,157400,154642,157107
1768969800,157143,158339,156602,157700
1768971600,157731,157950,156800,157487
1768973400,157544,157594,157255,157390
1768975200,157351,158199,157351,158160
1768977000,158191,158339,157239,157326
1768978800,157296,157750,157202,157702
1768980600,157733,157848,157524,157801
1768982400,157804,157896,157690,157818
1768984200,157806,157806,157275,157324
1768986000,157325,157754,157250,157754
1768987800,157725,157778,157631,157660
1768989600,157700,157748,157468,157567
1768991400,157525,157740,157505,157655
1768993200,157654,157908,157618,157840
1768995000,157825,157825,157535,157756
1768996800,157728,157762,157217,157557
1768998600,157583,157740,157456,157675
1769000400,157666,157722,157447,157642
1769002200,157650,158394,157650,158301
1769004000,158309,158475,157602,157900
1769005800,157919,157976,153180,153491
1769007600,153350,156629,152016,153625
1769009400,153701,155326,153701,154676
1769011200,154700,154899,154151,154397
1769013000,154399,154658,153696,153851
1769014800,153882,153882,152400,152947
1769016600,153049,153049,152001,152752
1769018400,152800,153299,152415,153116
1769052600,151699,153784,150140,152141
1769054400,152151,152449,149400,149685
1769056200,149667,151299,148777,149552
1769058000,149650,150876,149650,150156
1769059800,150202,152000,150200,151665
1769061600,151646,152351,151216,152140
1769063400,152152,152280,151343,151850
1769065200,151812,152188,151700,152185
1769067000,152230,152230,151550,151769
1769068800,151810,152084,151610,151756
1769070600,151709,151762,151555,151562
1769072400,151543,151752,151401,151551
1769074200,151590,151608,150700,151221
1769076000,151265,151317,150987,151169
1769077800,151138,152100,151131,151720
1769079600,151720,151786,151298,151566
1769081400,151570,151900,151447,151685
1769083200,151599,151739,151336,151614
1769085000,151659,151688,151065,151090
1769086800,151150,151588,151015,151090
1769088600,151051,151183,150053,150994
1769090400,151041,151291,150935,150991
1769092200,150955,151945,150955,151570
1769094000,151355,152279,151355,152184
1769095800,152266,154325,152250,154028
1769097600,154099,154423,153781,154265
1769099400,154182,154224,152559,153910
1769101200,153800,154428,153624,154428
1769103000,154428,157086,154428,156099
1769104800,156047,156745,155651,156400
1769139000,158890,159226,157500,158518
1769140800,158503,158540,157011,157640
1769142600,157661,158433,157629,158125
1769144400,158125,158150,158032,158115
1769146200,158150,158450,158023,158278
1769148000,158278,158299,157794,157857
1769149800,157863,157999,157518,157780
1769151600,157766,157832,157400,157553
1769153400,157580,157648,157152,157252
1769155200,157235,157304,155248,155717
1769157000,155799,156630,155550,155977
1769158800,156003,156308,155500,155655
1769160600,155676,156991,155634,156549
1769162400,156557,156932,156557,156848
1769164200,156850,156879,156405,156822
1769166000,156813,156825,156406,156725
1769167800,156750,156800,156327,156338
1769169600,156190,156791,156002,156602
1769171400,156662,157484,156662,156954
1769173200,156936,157374,156568,156899
1769175000,156897,157054,156560,156972
1769176800,156990,157159,156722,156840
1769178600,156800,157376,156516,156651
1769180400,156705,157000,156537,156547
1769182200,156514,157389,156445,156950
1769184000,156978,157909,156940,157905
1769185800,157906,158000,156744,157035
1769187600,157013,157498,156800,157125
1769189400,157161,157229,155853,156099
1769191200,156100,156297,155809,155975
1769484600,158516,159820,157500,158211
1769486400,158214,158600,158092,158413
1769488200,158429,158450,157803,158214
1769490000,158244,158490,158001,158152
1769491800,158100,158600,158027,158496
1769493600,158466,158746,158337,158666
1769495400,158625,158827,158519,158678
1769497200,158749,158890,158651,158787
1769499000,158825,159111,158498,158806
1769500800,158774,158814,158510,158554
1769502600,158545,158839,158499,158677
1769504400,158679,158849,158669,158848
1769506200,158860,158930,158650,158930
1769508000,158961,158961,158702,158770
1769509800,158759,158871,158634,158715
1769511600,158725,158870,158701,158804
1769513400,158849,158869,158462,158692
1769515200,158671,158818,158283,158470
1769517000,158470,158621,158350,158460
1769518800,158460,158870,158239,158343
1769520600,158400,158551,158348,158453
1769522400,158371,158405,157520,157607
